Measurement number,Cluster number,Indices number,X-coordinate [mm],Y-coordinate [mm],Z-coordinate [mm],Row number,Column number,Slice number
1,1,1,-15,-15,40.4,1,1,1
2,1,2,-15,-14,40.4,2,1,1
3,1,3,-15,-13,40.4,3,1,1
4,1,4,-15,-12,40.4,4,1,1
5,1,5,-15,-11,40.4,5,1,1
6,1,6,-15,-10,40.4,6,1,1
7,1,7,-15,-9,40.4,7,1,1
8,1,8,-15,-8,40.4,8,1,1
9,1,9,-15,-7,40.4,9,1,1
10,1,10,-15,-6,40.4,10,1,1
11,1,11,-15,-5,40.4,11,1,1
12,1,12,-15,-4,40.4,12,1,1
13,1,13,-15,-3,40.4,13,1,1
14,1,14,-15,-2,40.4,14,1,1
15,1,15,-15,-1,40.4,15,1,1
16,1,16,-15,0,40.4,16,1,1
17,1,17,-15,1,40.4,17,1,1
18,1,18,-15,2,40.4,18,1,1
19,1,19,-15,3,40.4,19,1,1
20,1,20,-15,4,40.4,20,1,1
21,1,21,-15,5,40.4,21,1,1
22,1,22,-15,6,40.4,22,1,1
23,1,23,-15,7,40.4,23,1,1
24,1,24,-15,8,40.4,24,1,1
25,1,25,-15,9,40.4,25,1,1
26,1,26,-15,10,40.4,26,1,1
27,1,27,-15,11,40.4,27,1,1
28,1,28,-15,12,40.4,28,1,1
29,1,29,-15,13,40.4,29,1,1
30,1,30,-15,14,40.4,30,1,1
31,1,31,-15,15,40.4,31,1,1
32,1,32,-14,-15,40.4,1,2,1
33,1,33,-14,-14,40.4,2,2,1
34,1,34,-14,-13,40.4,3,2,1
35,1,35,-14,-12,40.4,4,2,1
36,1,36,-14,-11,40.4,5,2,1
37,1,37,-14,-10,40.4,6,2,1
38,1,38,-14,-9,40.4,7,2,1
39,1,39,-14,-8,40.4,8,2,1
40,1,40,-14,-7,40.4,9,2,1
41,1,41,-14,-6,40.4,10,2,1
42,1,42,-14,-5,40.4,11,2,1
43,1,43,-14,-4,40.4,12,2,1
44,1,44,-14,-3,40.4,13,2,1
45,1,45,-14,-2,40.4,14,2,1
46,1,46,-14,-1,40.4,15,2,1
47,1,47,-14,0,40.4,16,2,1
48,1,48,-14,1,40.4,17,2,1
49,1,49,-14,2,40.4,18,2,1
50,1,50,-14,3,40.4,19,2,1
51,1,51,-14,4,40.4,20,2,1
52,1,52,-14,5,40.4,21,2,1
53,1,53,-14,6,40.4,22,2,1
54,1,54,-14,7,40.4,23,2,1
55,1,55,-14,8,40.4,24,2,1
56,1,56,-14,9,40.4,25,2,1
57,1,57,-14,10,40.4,26,2,1
58,1,58,-14,11,40.4,27,2,1
59,1,59,-14,12,40.4,28,2,1
60,1,60,-14,13,40.4,29,2,1
61,1,61,-14,14,40.4,30,2,1
62,1,62,-14,15,40.4,31,2,1
63,1,63,-13,-15,40.4,1,3,1
64,1,64,-13,-14,40.4,2,3,1
65,1,65,-13,-13,40.4,3,3,1
66,1,66,-13,-12,40.4,4,3,1
67,1,67,-13,-11,40.4,5,3,1
68,1,68,-13,-10,40.4,6,3,1
69,1,69,-13,-9,40.4,7,3,1
70,1,70,-13,-8,40.4,8,3,1
71,1,71,-13,-7,40.4,9,3,1
72,1,72,-13,-6,40.4,10,3,1
73,1,73,-13,-5,40.4,11,3,1
74,1,74,-13,-4,40.4,12,3,1
75,1,75,-13,-3,40.4,13,3,1
76,1,76,-13,-2,40.4,14,3,1
77,1,77,-13,-1,40.4,15,3,1
78,1,78,-13,0,40.4,16,3,1
79,1,79,-13,1,40.4,17,3,1
80,1,80,-13,2,40.4,18,3,1
81,1,81,-13,3,40.4,19,3,1
82,1,82,-13,4,40.4,20,3,1
83,1,83,-13,5,40.4,21,3,1
84,1,84,-13,6,40.4,22,3,1
85,1,85,-13,7,40.4,23,3,1
86,1,86,-13,8,40.4,24,3,1
87,1,87,-13,9,40.4,25,3,1
88,1,88,-13,10,40.4,26,3,1
89,1,89,-13,11,40.4,27,3,1
90,1,90,-13,12,40.4,28,3,1
91,1,91,-13,13,40.4,29,3,1
92,1,92,-13,14,40.4,30,3,1
93,1,93,-13,15,40.4,31,3,1
94,1,94,-12,-15,40.4,1,4,1
95,1,95,-12,-14,40.4,2,4,1
96,1,96,-12,-13,40.4,3,4,1
97,1,97,-12,-12,40.4,4,4,1
98,1,98,-12,-11,40.4,5,4,1
99,1,99,-12,-10,40.4,6,4,1
100,1,100,-12,-9,40.4,7,4,1
101,1,101,-12,-8,40.4,8,4,1
102,1,102,-12,-7,40.4,9,4,1
103,1,103,-12,-6,40.4,10,4,1
104,1,104,-12,-5,40.4,11,4,1
105,1,105,-12,-4,40.4,12,4,1
106,1,106,-12,-3,40.4,13,4,1
107,1,107,-12,-2,40.4,14,4,1
108,1,108,-12,-1,40.4,15,4,1
109,1,109,-12,0,40.4,16,4,1
110,1,110,-12,1,40.4,17,4,1
111,1,111,-12,2,40.4,18,4,1
112,1,112,-12,3,40.4,19,4,1
113,1,113,-12,4,40.4,20,4,1
114,1,114,-12,5,40.4,21,4,1
115,1,115,-12,6,40.4,22,4,1
116,1,116,-12,7,40.4,23,4,1
117,1,117,-12,8,40.4,24,4,1
118,1,118,-12,9,40.4,25,4,1
119,1,119,-12,10,40.4,26,4,1
120,1,120,-12,11,40.4,27,4,1
121,1,121,-12,12,40.4,28,4,1
122,1,122,-12,13,40.4,29,4,1
123,1,123,-12,14,40.4,30,4,1
124,1,124,-12,15,40.4,31,4,1
125,1,125,-11,-15,40.4,1,5,1
126,1,126,-11,-14,40.4,2,5,1
127,1,127,-11,-13,40.4,3,5,1
128,1,128,-11,-12,40.4,4,5,1
129,1,129,-11,-11,40.4,5,5,1
130,1,130,-11,-10,40.4,6,5,1
131,1,131,-11,-9,40.4,7,5,1
132,1,132,-11,-8,40.4,8,5,1
133,1,133,-11,-7,40.4,9,5,1
134,1,134,-11,-6,40.4,10,5,1
135,1,135,-11,-5,40.4,11,5,1
136,1,136,-11,-4,40.4,12,5,1
137,1,137,-11,-3,40.4,13,5,1
138,1,138,-11,-2,40.4,14,5,1
139,1,139,-11,-1,40.4,15,5,1
140,1,140,-11,0,40.4,16,5,1
141,1,141,-11,1,40.4,17,5,1
142,1,142,-11,2,40.4,18,5,1
143,1,143,-11,3,40.4,19,5,1
144,1,144,-11,4,40.4,20,5,1
145,1,145,-11,5,40.4,21,5,1
146,1,146,-11,6,40.4,22,5,1
147,1,147,-11,7,40.4,23,5,1
148,1,148,-11,8,40.4,24,5,1
149,1,149,-11,9,40.4,25,5,1
150,1,150,-11,10,40.4,26,5,1
151,1,151,-11,11,40.4,27,5,1
152,1,152,-11,12,40.4,28,5,1
153,1,153,-11,13,40.4,29,5,1
154,1,154,-11,14,40.4,30,5,1
155,1,155,-11,15,40.4,31,5,1
156,1,156,-10,-15,40.4,1,6,1
157,1,157,-10,-14,40.4,2,6,1
158,1,158,-10,-13,40.4,3,6,1
159,1,159,-10,-12,40.4,4,6,1
160,1,160,-10,-11,40.4,5,6,1
161,1,161,-10,-10,40.4,6,6,1
162,1,162,-10,-9,40.4,7,6,1
163,1,163,-10,-8,40.4,8,6,1
164,1,164,-10,-7,40.4,9,6,1
165,1,165,-10,-6,40.4,10,6,1
166,1,166,-10,-5,40.4,11,6,1
167,1,167,-10,-4,40.4,12,6,1
168,1,168,-10,-3,40.4,13,6,1
169,1,169,-10,-2,40.4,14,6,1
170,1,170,-10,-1,40.4,15,6,1
171,1,171,-10,0,40.4,16,6,1
172,1,172,-10,1,40.4,17,6,1
173,1,173,-10,2,40.4,18,6,1
174,1,174,-10,3,40.4,19,6,1
175,1,175,-10,4,40.4,20,6,1
176,1,176,-10,5,40.4,21,6,1
177,1,177,-10,6,40.4,22,6,1
178,1,178,-10,7,40.4,23,6,1
179,1,179,-10,8,40.4,24,6,1
180,1,180,-10,9,40.4,25,6,1
181,1,181,-10,10,40.4,26,6,1
182,1,182,-10,11,40.4,27,6,1
183,1,183,-10,12,40.4,28,6,1
184,1,184,-10,13,40.4,29,6,1
185,1,185,-10,14,40.4,30,6,1
186,1,186,-10,15,40.4,31,6,1
187,1,187,-9,-15,40.4,1,7,1
188,1,188,-9,-14,40.4,2,7,1
189,1,189,-9,-13,40.4,3,7,1
190,1,190,-9,-12,40.4,4,7,1
191,1,191,-9,-11,40.4,5,7,1
192,1,192,-9,-10,40.4,6,7,1
193,1,193,-9,-9,40.4,7,7,1
194,1,194,-9,-8,40.4,8,7,1
195,1,195,-9,-7,40.4,9,7,1
196,1,196,-9,-6,40.4,10,7,1
197,1,197,-9,-5,40.4,11,7,1
198,1,198,-9,-4,40.4,12,7,1
199,1,199,-9,-3,40.4,13,7,1
200,1,200,-9,-2,40.4,14,7,1
201,1,201,-9,-1,40.4,15,7,1
202,1,202,-9,0,40.4,16,7,1
203,1,203,-9,1,40.4,17,7,1
204,1,204,-9,2,40.4,18,7,1
205,1,205,-9,3,40.4,19,7,1
206,1,206,-9,4,40.4,20,7,1
207,1,207,-9,5,40.4,21,7,1
208,1,208,-9,6,40.4,22,7,1
209,1,209,-9,7,40.4,23,7,1
210,1,210,-9,8,40.4,24,7,1
211,1,211,-9,9,40.4,25,7,1
212,1,212,-9,10,40.4,26,7,1
213,1,213,-9,11,40.4,27,7,1
214,1,214,-9,12,40.4,28,7,1
215,1,215,-9,13,40.4,29,7,1
216,1,216,-9,14,40.4,30,7,1
217,1,217,-9,15,40.4,31,7,1
218,1,218,-8,-15,40.4,1,8,1
219,1,219,-8,-14,40.4,2,8,1
220,1,220,-8,-13,40.4,3,8,1
221,1,221,-8,-12,40.4,4,8,1
222,1,222,-8,-11,40.4,5,8,1
223,1,223,-8,-10,40.4,6,8,1
224,1,224,-8,-9,40.4,7,8,1
225,1,225,-8,-8,40.4,8,8,1
226,1,226,-8,-7,40.4,9,8,1
227,1,227,-8,-6,40.4,10,8,1
228,1,228,-8,-5,40.4,11,8,1
229,1,229,-8,-4,40.4,12,8,1
230,1,230,-8,-3,40.4,13,8,1
231,1,231,-8,-2,40.4,14,8,1
232,1,232,-8,-1,40.4,15,8,1
233,1,233,-8,0,40.4,16,8,1
234,1,234,-8,1,40.4,17,8,1
235,1,235,-8,2,40.4,18,8,1
236,1,236,-8,3,40.4,19,8,1
237,1,237,-8,4,40.4,20,8,1
238,1,238,-8,5,40.4,21,8,1
239,1,239,-8,6,40.4,22,8,1
240,1,240,-8,7,40.4,23,8,1
241,1,241,-8,8,40.4,24,8,1
242,1,242,-8,9,40.4,25,8,1
243,1,243,-8,10,40.4,26,8,1
244,1,244,-8,11,40.4,27,8,1
245,1,245,-8,12,40.4,28,8,1
246,1,246,-8,13,40.4,29,8,1
247,1,247,-8,14,40.4,30,8,1
248,1,248,-8,15,40.4,31,8,1
249,1,249,-7,-15,40.4,1,9,1
250,1,250,-7,-14,40.4,2,9,1
251,1,251,-7,-13,40.4,3,9,1
252,1,252,-7,-12,40.4,4,9,1
253,1,253,-7,-11,40.4,5,9,1
254,1,254,-7,-10,40.4,6,9,1
255,1,255,-7,-9,40.4,7,9,1
256,1,256,-7,-8,40.4,8,9,1
257,1,257,-7,-7,40.4,9,9,1
258,1,258,-7,-6,40.4,10,9,1
259,1,259,-7,-5,40.4,11,9,1
260,1,260,-7,-4,40.4,12,9,1
261,1,261,-7,-3,40.4,13,9,1
262,1,262,-7,-2,40.4,14,9,1
263,1,263,-7,-1,40.4,15,9,1
264,1,264,-7,0,40.4,16,9,1
265,1,265,-7,1,40.4,17,9,1
266,1,266,-7,2,40.4,18,9,1
267,1,267,-7,3,40.4,19,9,1
268,1,268,-7,4,40.4,20,9,1
269,1,269,-7,5,40.4,21,9,1
270,1,270,-7,6,40.4,22,9,1
271,1,271,-7,7,40.4,23,9,1
272,1,272,-7,8,40.4,24,9,1
273,1,273,-7,9,40.4,25,9,1
274,1,274,-7,10,40.4,26,9,1
275,1,275,-7,11,40.4,27,9,1
276,1,276,-7,12,40.4,28,9,1
277,1,277,-7,13,40.4,29,9,1
278,1,278,-7,14,40.4,30,9,1
279,1,279,-7,15,40.4,31,9,1
280,1,280,-6,-15,40.4,1,10,1
281,1,281,-6,-14,40.4,2,10,1
282,1,282,-6,-13,40.4,3,10,1
283,1,283,-6,-12,40.4,4,10,1
284,1,284,-6,-11,40.4,5,10,1
285,1,285,-6,-10,40.4,6,10,1
286,1,286,-6,-9,40.4,7,10,1
287,1,287,-6,-8,40.4,8,10,1
288,1,288,-6,-7,40.4,9,10,1
289,1,289,-6,-6,40.4,10,10,1
290,1,290,-6,-5,40.4,11,10,1
291,1,291,-6,-4,40.4,12,10,1
292,1,292,-6,-3,40.4,13,10,1
293,1,293,-6,-2,40.4,14,10,1
294,1,294,-6,-1,40.4,15,10,1
295,1,295,-6,0,40.4,16,10,1
296,1,296,-6,1,40.4,17,10,1
297,1,297,-6,2,40.4,18,10,1
298,1,298,-6,3,40.4,19,10,1
299,1,299,-6,4,40.4,20,10,1
300,1,300,-6,5,40.4,21,10,1
301,1,301,-6,6,40.4,22,10,1
302,1,302,-6,7,40.4,23,10,1
303,1,303,-6,8,40.4,24,10,1
304,1,304,-6,9,40.4,25,10,1
305,1,305,-6,10,40.4,26,10,1
306,1,306,-6,11,40.4,27,10,1
307,1,307,-6,12,40.4,28,10,1
308,1,308,-6,13,40.4,29,10,1
309,1,309,-6,14,40.4,30,10,1
310,1,310,-6,15,40.4,31,10,1
311,1,311,-5,-15,40.4,1,11,1
312,1,312,-5,-14,40.4,2,11,1
313,1,313,-5,-13,40.4,3,11,1
314,1,314,-5,-12,40.4,4,11,1
315,1,315,-5,-11,40.4,5,11,1
316,1,316,-5,-10,40.4,6,11,1
317,1,317,-5,-9,40.4,7,11,1
318,1,318,-5,-8,40.4,8,11,1
319,1,319,-5,-7,40.4,9,11,1
320,1,320,-5,-6,40.4,10,11,1
321,1,321,-5,-5,40.4,11,11,1
322,1,322,-5,-4,40.4,12,11,1
323,1,323,-5,-3,40.4,13,11,1
324,1,324,-5,-2,40.4,14,11,1
325,1,325,-5,-1,40.4,15,11,1
326,1,326,-5,0,40.4,16,11,1
327,1,327,-5,1,40.4,17,11,1
328,1,328,-5,2,40.4,18,11,1
329,1,329,-5,3,40.4,19,11,1
330,1,330,-5,4,40.4,20,11,1
331,1,331,-5,5,40.4,21,11,1
332,1,332,-5,6,40.4,22,11,1
333,1,333,-5,7,40.4,23,11,1
334,1,334,-5,8,40.4,24,11,1
335,1,335,-5,9,40.4,25,11,1
336,1,336,-5,10,40.4,26,11,1
337,1,337,-5,11,40.4,27,11,1
338,1,338,-5,12,40.4,28,11,1
339,1,339,-5,13,40.4,29,11,1
340,1,340,-5,14,40.4,30,11,1
341,1,341,-5,15,40.4,31,11,1
342,1,342,-4,-15,40.4,1,12,1
343,1,343,-4,-14,40.4,2,12,1
344,1,344,-4,-13,40.4,3,12,1
345,1,345,-4,-12,40.4,4,12,1
346,1,346,-4,-11,40.4,5,12,1
347,1,347,-4,-10,40.4,6,12,1
348,1,348,-4,-9,40.4,7,12,1
349,1,349,-4,-8,40.4,8,12,1
350,1,350,-4,-7,40.4,9,12,1
351,1,351,-4,-6,40.4,10,12,1
352,1,352,-4,-5,40.4,11,12,1
353,1,353,-4,-4,40.4,12,12,1
354,1,354,-4,-3,40.4,13,12,1
355,1,355,-4,-2,40.4,14,12,1
356,1,356,-4,-1,40.4,15,12,1
357,1,357,-4,0,40.4,16,12,1
358,1,358,-4,1,40.4,17,12,1
359,1,359,-4,2,40.4,18,12,1
360,1,360,-4,3,40.4,19,12,1
361,1,361,-4,4,40.4,20,12,1
362,1,362,-4,5,40.4,21,12,1
363,1,363,-4,6,40.4,22,12,1
364,1,364,-4,7,40.4,23,12,1
365,1,365,-4,8,40.4,24,12,1
366,1,366,-4,9,40.4,25,12,1
367,1,367,-4,10,40.4,26,12,1
368,1,368,-4,11,40.4,27,12,1
369,1,369,-4,12,40.4,28,12,1
370,1,370,-4,13,40.4,29,12,1
371,1,371,-4,14,40.4,30,12,1
372,1,372,-4,15,40.4,31,12,1
373,1,373,-3,-15,40.4,1,13,1
374,1,374,-3,-14,40.4,2,13,1
375,1,375,-3,-13,40.4,3,13,1
376,1,376,-3,-12,40.4,4,13,1
377,1,377,-3,-11,40.4,5,13,1
378,1,378,-3,-10,40.4,6,13,1
379,1,379,-3,-9,40.4,7,13,1
380,1,380,-3,-8,40.4,8,13,1
381,1,381,-3,-7,40.4,9,13,1
382,1,382,-3,-6,40.4,10,13,1
383,1,383,-3,-5,40.4,11,13,1
384,1,384,-3,-4,40.4,12,13,1
385,1,385,-3,-3,40.4,13,13,1
386,1,386,-3,-2,40.4,14,13,1
387,1,387,-3,-1,40.4,15,13,1
388,1,388,-3,0,40.4,16,13,1
389,1,389,-3,1,40.4,17,13,1
390,1,390,-3,2,40.4,18,13,1
391,1,391,-3,3,40.4,19,13,1
392,1,392,-3,4,40.4,20,13,1
393,1,393,-3,5,40.4,21,13,1
394,1,394,-3,6,40.4,22,13,1
395,1,395,-3,7,40.4,23,13,1
396,1,396,-3,8,40.4,24,13,1
397,1,397,-3,9,40.4,25,13,1
398,1,398,-3,10,40.4,26,13,1
399,1,399,-3,11,40.4,27,13,1
400,1,400,-3,12,40.4,28,13,1
401,1,401,-3,13,40.4,29,13,1
402,1,402,-3,14,40.4,30,13,1
403,1,403,-3,15,40.4,31,13,1
404,1,404,-2,-15,40.4,1,14,1
405,1,405,-2,-14,40.4,2,14,1
406,1,406,-2,-13,40.4,3,14,1
407,1,407,-2,-12,40.4,4,14,1
408,1,408,-2,-11,40.4,5,14,1
409,1,409,-2,-10,40.4,6,14,1
410,1,410,-2,-9,40.4,7,14,1
411,1,411,-2,-8,40.4,8,14,1
412,1,412,-2,-7,40.4,9,14,1
413,1,413,-2,-6,40.4,10,14,1
414,1,414,-2,-5,40.4,11,14,1
415,1,415,-2,-4,40.4,12,14,1
416,1,416,-2,-3,40.4,13,14,1
417,1,417,-2,-2,40.4,14,14,1
418,1,418,-2,-1,40.4,15,14,1
419,1,419,-2,0,40.4,16,14,1
420,1,420,-2,1,40.4,17,14,1
421,1,421,-2,2,40.4,18,14,1
422,1,422,-2,3,40.4,19,14,1
423,1,423,-2,4,40.4,20,14,1
424,1,424,-2,5,40.4,21,14,1
425,1,425,-2,6,40.4,22,14,1
426,1,426,-2,7,40.4,23,14,1
427,1,427,-2,8,40.4,24,14,1
428,1,428,-2,9,40.4,25,14,1
429,1,429,-2,10,40.4,26,14,1
430,1,430,-2,11,40.4,27,14,1
431,1,431,-2,12,40.4,28,14,1
432,1,432,-2,13,40.4,29,14,1
433,1,433,-2,14,40.4,30,14,1
434,1,434,-2,15,40.4,31,14,1
435,1,435,-1,-15,40.4,1,15,1
436,1,436,-1,-14,40.4,2,15,1
437,1,437,-1,-13,40.4,3,15,1
438,1,438,-1,-12,40.4,4,15,1
439,1,439,-1,-11,40.4,5,15,1
440,1,440,-1,-10,40.4,6,15,1
441,1,441,-1,-9,40.4,7,15,1
442,1,442,-1,-8,40.4,8,15,1
443,1,443,-1,-7,40.4,9,15,1
444,1,444,-1,-6,40.4,10,15,1
445,1,445,-1,-5,40.4,11,15,1
446,1,446,-1,-4,40.4,12,15,1
447,1,447,-1,-3,40.4,13,15,1
448,1,448,-1,-2,40.4,14,15,1
449,1,449,-1,-1,40.4,15,15,1
450,1,450,-1,0,40.4,16,15,1
451,1,451,-1,1,40.4,17,15,1
452,1,452,-1,2,40.4,18,15,1
453,1,453,-1,3,40.4,19,15,1
454,1,454,-1,4,40.4,20,15,1
455,1,455,-1,5,40.4,21,15,1
456,1,456,-1,6,40.4,22,15,1
457,1,457,-1,7,40.4,23,15,1
458,1,458,-1,8,40.4,24,15,1
459,1,459,-1,9,40.4,25,15,1
460,1,460,-1,10,40.4,26,15,1
461,1,461,-1,11,40.4,27,15,1
462,1,462,-1,12,40.4,28,15,1
463,1,463,-1,13,40.4,29,15,1
464,1,464,-1,14,40.4,30,15,1
465,1,465,-1,15,40.4,31,15,1
466,1,466,0,-15,40.4,1,16,1
467,1,467,0,-14,40.4,2,16,1
468,1,468,0,-13,40.4,3,16,1
469,1,469,0,-12,40.4,4,16,1
470,1,470,0,-11,40.4,5,16,1
471,1,471,0,-10,40.4,6,16,1
472,1,472,0,-9,40.4,7,16,1
473,1,473,0,-8,40.4,8,16,1
474,1,474,0,-7,40.4,9,16,1
475,1,475,0,-6,40.4,10,16,1
476,1,476,0,-5,40.4,11,16,1
477,1,477,0,-4,40.4,12,16,1
478,1,478,0,-3,40.4,13,16,1
